Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Fquih Ben Salah,Maison sur lot économique,MT,1.271,1.283,1.294,1.307,1.28,1.241,1.242,1.259,1.28,1.289,1.312,1.335,1.358,1.382,1.406,1.45,1.488,1.55,1.575,0.0,100.0,101.0,,,,,,,,,,,,,,,,,,,,,,
Fquih Ben Salah,Maison sur lot économique,GT,1.304,1.343,1.371,1.379,1.39,1.404,1.424,1.437,1.47,1.489,1.493,1.5,1.519,1.528,1.54,1.583,1.625,1.668,1.805,0.0,100.0,103.0,,,,,,,,,,,,,,,,,,,,,,
Fquih Ben Salah,Maison sur lot économique,MLE,1.194,1.214,1.229,1.237,1.228,1.212,1.22,1.237,1.257,1.271,1.29,1.31,1.333,1.354,1.342,1.381,1.415,1.471,1.509,0.0,100.0,101.8,,,,,,,,,,,,,,,,,,,,,,
Azilal,Villa,PT,1.752,1.833,1.909,2.005,2.052,2.062,2.084,2.165,2.218,2.328,2.358,2.346,2.367,2.389,2.457,2.483,2.505,2.54,2.555,0.0,100.0,104.6,,,,,,,,,,,,,,,,,,,,,,
Azilal,Villa,MT,2.138,2.245,2.289,2.357,2.38,2.403,2.427,2.499,2.548,2.624,2.65,2.675,2.701,2.819,2.96,2.991,3.018,3.063,3.08,0.0,100.0,105.0,,,,,,,,,,,,,,,,,,,,,,
Azilal,Villa,GT,2.969,3.101,3.243,3.391,3.537,3.584,3.728,3.905,3.906,3.985,3.986,3.987,3.988,3.989,3.99,4.007,4.018,4.05,4.05,0.0,100.0,104.5,,,,,,,,,,,,,,,,,,,,,,
Azilal,Villa,VIL,2.275,2.383,2.46,2.554,2.615,2.642,2.696,2.798,2.835,2.919,2.939,2.951,2.969,3.036,2.986,3.014,3.037,3.078,3.093,0.0,100.0,104.8,,,,,,,,,,,,,,,,,,,,,,
Azilal,Appartement standing,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Azilal,Appartement standing,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Azilal,Appartement standing,GT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
