Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Agadir,Maison sur lot économique,MT,,1.824,1.773,1.706,1.655,1.528,1.545,1.532,1.541,1.598,1.636,1.705,1.747,1.853,1.921,1.958,1.988,2.011,2.035,,,,2.043,0.0,100.0,97.2,93.5,90.7,83.8,84.7,84.0,84.5,87.6,89.7,93.5,95.8,101.6,105.3,107.3,109.0,110.3,,,
Agadir,Maison sur lot économique,GT,,2.674,2.597,2.338,2.116,2.097,2.132,2.147,2.214,2.365,2.452,2.506,2.601,2.61,2.643,2.692,2.707,2.73,2.753,,,,2.812,0.0,100.0,97.1,87.4,79.1,78.4,79.7,80.3,82.8,88.4,91.7,93.7,97.3,97.6,98.9,100.7,101.2,102.1,,,
Inzegane Ait Melloul,Villa,PT,,2.993,3.262,3.569,3.796,4.03,3.957,4.152,3.998,3.878,3.999,3.978,3.899,3.988,3.924,4.071,4.224,4.341,4.424,,,,4.427,0.0,100.0,109.0,119.2,126.8,134.6,132.2,138.7,133.5,129.6,133.6,132.9,130.2,133.2,131.1,136.0,141.1,145.0,,,
Inzegane Ait Melloul,Villa,MT,,5.394,5.721,5.781,5.729,5.921,6.476,6.918,7.364,7.545,7.552,7.554,7.281,7.24,7.142,7.205,7.234,7.319,7.362,,,,7.367,0.0,100.0,106.1,107.2,106.2,109.8,120.0,128.3,136.5,139.9,140.0,140.0,135.0,134.2,132.4,133.6,134.1,135.7,,,
Inzegane Ait Melloul,Villa,GT,,8.694,9.353,9.173,9.789,9.944,10.179,11.137,11.914,10.93,11.182,10.842,11.284,10.997,10.694,10.693,10.971,11.068,11.233,,,,11.239,0.0,100.0,107.6,105.5,112.6,114.4,117.1,128.1,137.0,125.7,128.6,124.7,129.8,126.5,123.0,123.0,126.2,127.3,,,
Inzegane Ait Melloul,Appartement standing,PT,,1.487,1.613,1.732,1.824,1.953,1.98,1.975,1.974,1.926,1.973,2.032,2.009,1.98,2.042,2.137,2.166,2.215,2.254,,,,2.312,0.0,100.0,108.4,116.5,122.6,131.3,133.2,132.8,132.8,129.5,132.6,136.6,135.1,133.2,137.3,143.7,145.6,149.0,,,
Inzegane Ait Melloul,Appartement standing,MT,,2.483,2.531,2.725,2.956,3.245,3.064,2.788,2.87,2.958,3.071,3.118,3.103,3.113,3.091,3.157,3.175,3.234,3.271,,,,3.325,0.0,100.0,102.0,109.8,119.1,130.7,123.4,112.3,115.6,119.1,123.7,125.6,125.0,125.4,124.5,127.2,127.9,130.3,,,
Inzegane Ait Melloul,Appartement standing,GT,,2.852,3.1,3.403,3.74,3.74,3.709,3.558,3.658,3.926,4.065,4.145,3.966,3.939,3.881,3.96,3.935,3.996,4.031,,,,4.092,0.0,100.0,108.7,119.3,131.2,131.2,130.1,124.8,128.3,137.7,142.5,145.3,139.1,138.1,136.1,138.9,138.0,140.1,,,
Inzegane Ait Melloul,Appartement économique,PT,,1.094,1.058,1.059,1.007,916.0,927.0,936.0,953.0,1.008,1.061,1.158,1.243,1.293,1.343,1.391,1.398,1.436,1.482,,,,1.502,0.0,100.0,96.7,96.8,92.0,83.7,84.7,85.5,87.1,92.1,96.9,105.8,113.6,118.1,122.7,127.1,127.8,131.2,,,
Inzegane Ait Melloul,Appartement économique,MT,,1.531,1.642,1.592,1.565,1.489,1.488,1.475,1.491,1.551,1.576,1.657,1.781,1.86,1.922,2.019,2.043,2.089,2.125,,,,2.121,0.0,100.0,107.2,104.0,102.2,97.3,97.2,96.3,97.4,101.3,103.0,108.3,116.4,121.5,125.6,131.9,133.5,136.5,,,
