Agglomeration,Type_Habitat,Envergure,Montant_2001,Montant_2002,Montant_2003,Montant_2004,Montant_2005,Montant_2006,Montant_2007,Montant_2008,Montant_2009,Montant_2010,Montant_2011,Montant_2012,Montant_2013,Montant_2014,Montant_2015,Montant_2016,Montant_2017,Montant_2018,Montant_2019,Montant_2020,Montant_2021,Montant_2022,Indice_2001,Indice_2002,Indice_2003,Indice_2004,Indice_2005,Indice_2006,Indice_2007,Indice_2008,Indice_2009,Indice_2010,Indice_2011,Indice_2012,Indice_2013,Indice_2014,Indice_2015,Indice_2016,Indice_2017,Indice_2018,Indice_2019,Indice_2020,Indice_2021,Indice_2022
Mohammadia,Appartement standing,PT,,2.447,2.553,2.644,2.759,2.933,3.181,3.456,3.562,3.616,3.711,3.699,3.737,3.771,3.832,3.91,3.985,4.048,4.073,4.098,4.064,4.157,4.354,,100.0,104.3,108.1,112.7,119.9,130.0,141.2,145.6,147.7,151.6,151.1,152.7,154.1,156.6,159.7,162.8,165.4,166.4,167.5,166.0
Mohammadia,Appartement standing,MT,,4.468,4.548,4.577,4.667,4.779,4.915,5.077,5.228,5.345,5.543,5.503,5.545,5.581,5.631,5.696,5.726,5.75,5.789,5.853,5.748,5.844,6.083,,100.0,101.8,102.4,104.5,107.0,110.0,113.6,117.0,119.6,124.1,123.2,124.1,124.9,126.0,127.5,128.2,128.7,129.6,131.0,128.7
Mohammadia,Appartement standing,GT,,5.878,6.186,6.486,6.786,6.875,7.298,7.663,8.02,8.186,8.265,8.24,8.054,7.954,7.975,8.007,8.12,8.112,8.204,8.24,8.177,8.239,8.415,,100.0,105.2,110.3,115.4,117.0,124.2,130.4,136.4,139.3,140.6,140.2,137.0,135.3,135.7,136.2,138.1,138.0,139.6,140.2,139.1
Mohammadia,Appartement économique,PT,,1.284,1.299,1.321,1.369,1.413,1.464,1.53,1.61,1.604,1.7,1.838,1.986,2.006,2.073,2.085,2.111,2.138,2.151,2.162,2.115,2.171,2.277,,100.0,101.1,102.8,106.6,110.0,114.0,119.1,125.3,124.9,132.4,143.1,154.6,156.2,161.4,162.4,164.3,166.5,167.5,168.3,164.6
Mohammadia,Appartement économique,MT,,1.828,1.875,1.832,1.882,2.017,2.027,2.122,2.26,2.267,2.441,2.552,2.779,2.827,2.906,2.915,2.946,2.988,3.063,3.072,3.043,3.117,3.233,,100.0,102.5,100.2,103.0,110.3,110.8,116.1,123.6,124.0,133.5,139.6,152.0,154.6,159.0,159.4,161.1,163.4,167.5,168.0,166.5
Mohammadia,Appartement économique,GT,,2.541,2.608,2.72,2.708,2.821,3.081,3.331,3.371,3.31,3.424,3.494,3.723,3.754,3.778,3.791,3.839,3.881,3.901,3.935,3.857,3.904,3.985,,100.0,102.6,107.0,106.6,111.0,121.2,131.1,132.6,130.3,134.7,137.5,146.5,147.7,148.7,149.2,151.1,152.7,153.5,154.9,151.8
Mohammadia,Maison sur lot économique,PT,,1.082,1.075,1.131,1.166,1.232,1.255,1.258,1.326,1.317,1.402,1.503,1.631,1.712,1.768,1.789,1.799,1.818,1.865,1.888,1.859,1.906,2.006,,100.0,99.4,104.5,107.8,113.9,116.0,116.3,122.6,121.8,129.6,139.0,150.8,158.2,163.5,165.4,166.3,168.1,172.4,174.6,171.8
Mohammadia,Maison sur lot économique,MT,,1.311,1.366,1.461,1.562,1.681,1.764,1.803,1.917,1.971,2.084,2.241,2.433,2.509,2.581,2.605,2.639,2.678,2.688,2.724,2.677,2.736,2.857,,100.0,104.1,111.4,119.1,128.2,134.5,137.5,146.2,150.3,158.9,170.9,185.5,191.4,196.9,198.7,201.2,204.2,205.0,207.7,204.2
Mohammadia,Maison sur lot économique,GT,,2.039,2.133,2.221,2.359,2.46,2.487,2.626,2.76,2.862,3.018,3.23,3.373,3.434,3.506,3.486,3.459,3.502,3.528,3.587,3.566,3.634,3.722,,100.0,104.6,108.9,115.7,120.6,121.9,128.8,135.3,140.3,148.0,158.4,165.4,168.4,171.9,171.0,169.6,171.7,173.0,175.9,174.9
Nouaceur,Villa,PT,,4.327,4.654,5.063,5.52,6.059,6.64,6.815,7.427,8.156,8.388,8.567,8.754,8.962,9.08,9.053,9.143,9.224,9.549,9.693,9.55,9.608,9.845,,100.0,107.6,117.0,127.6,140.0,153.5,157.5,171.7,188.5,193.9,198.0,202.3,207.1,209.8,209.2,211.3,213.2,220.7,224.0,220.7
Nouaceur,Villa,MT,,8.248,7.973,8.082,8.433,9.009,9.409,10.079,11.035,11.96,12.892,14.003,15.349,16.209,16.546,16.452,16.103,16.272,16.399,16.603,16.101,16.381,16.822,,100.0,96.7,98.0,102.2,109.2,114.1,122.2,133.8,145.0,156.3,169.8,186.1,196.5,200.6,199.5,195.2,197.3,198.8,201.3,195.2
Nouaceur,Villa,GT,,14.949,15.85,16.548,17.87,18.28,19.527,21.451,23.562,25.846,28.35,30.667,31.232,31.565,32.182,31.695,30.964,31.216,30.309,30.714,30.219,30.547,30.95,,100.0,106.0,110.7,119.5,122.3,130.6,143.5,157.6,172.9,189.6,205.1,208.9,211.2,215.3,212.0,207.1,208.8,202.8,205.5,202.2
Nouaceur,Appartement standing,PT,,2.201,2.318,2.405,2.512,2.635,2.832,3.102,3.347,3.501,3.598,3.722,3.79,3.725,3.759,3.89,3.969,4.014,4.111,4.226,4.085,4.167,4.382,,100.0,105.3,109.3,114.1,119.7,128.7,141.0,152.1,159.1,163.5,169.1,172.2,169.2,170.8,176.7,180.3,182.4,186.8,192.0,185.6
Nouaceur,Appartement standing,MT,,3.375,3.507,3.602,3.746,3.645,3.809,4.054,4.235,4.465,4.636,4.776,4.851,4.736,4.745,4.869,4.915,4.951,5.064,5.219,5.174,5.311,5.486,,100.0,103.9,106.7,111.0,108.0,112.9,120.1,125.5,132.3,137.4,141.5,143.7,140.3,140.6,144.3,145.6,146.7,150.0,154.6,153.3
Nouaceur,Appartement standing,GT,,4.84,5.09,5.325,5.459,5.697,6.079,6.504,6.907,7.266,7.347,7.599,7.488,7.321,7.29,7.423,7.472,7.507,7.603,7.893,7.765,7.873,8.05,,100.0,105.2,110.0,112.8,117.7,125.6,134.4,142.7,150.1,151.8,157.0,154.7,151.3,150.6,153.4,154.4,155.1,157.1,163.1,160.4
Nouaceur,Appartement économique,PT,,1.266,1.279,1.298,1.345,1.364,1.437,1.503,1.562,1.602,1.706,1.812,1.908,1.928,1.946,2.009,2.009,2.032,2.067,2.088,2.054,2.133,2.234,,100.0,101.0,102.5,106.2,107.7,113.5,118.7,123.4,126.5,134.7,143.1,150.7,152.3,153.7,158.6,158.6,160.5,163.2,164.9,162.2
Nouaceur,Appartement économique,MT,,1.752,1.794,1.751,1.797,1.801,1.934,1.994,2.133,2.198,2.382,2.471,2.601,2.642,2.653,2.73,2.761,2.79,2.82,2.858,2.835,2.944,3.073,,100.0,102.4,99.9,102.6,102.8,110.4,113.8,121.7,125.4,135.9,141.0,148.4,150.7,151.4,155.8,157.6,159.2,160.9,163.1,161.8
Nouaceur,Appartement économique,GT,,2.389,2.521,2.526,2.512,2.601,2.796,2.99,3.14,3.132,3.245,3.346,3.424,3.408,3.351,3.449,3.478,3.495,3.538,3.592,3.612,3.662,3.738,,100.0,105.5,105.7,105.2,108.9,117.1,125.2,131.4,131.1,135.8,140.1,143.4,142.7,140.3,144.4,145.6,146.3,148.1,150.4,151.2
Nouaceur,Maison sur lot économique,PT,,986.0,988.0,1.047,1.074,1.084,1.149,1.218,1.269,1.345,1.455,1.569,1.672,1.675,1.692,1.704,1.735,1.749,1.772,1.786,1.748,1.822,1.922,,100.0,100.2,106.2,108.9,109.8,116.5,123.5,128.7,136.3,147.6,159.0,169.5,169.8,171.5,172.8,175.9,177.3,179.6,181.0,177.2
Nouaceur,Maison sur lot économique,MT,,1.146,1.151,1.24,1.341,1.413,1.519,1.628,1.758,1.901,2.032,2.154,2.299,2.32,2.332,2.344,2.359,2.367,2.428,2.434,2.4,2.516,2.675,,100.0,100.4,108.2,117.0,123.3,132.5,142.0,153.4,165.8,177.3,187.9,200.6,202.4,203.5,204.6,205.9,206.5,211.9,212.4,209.4
Nouaceur,Maison sur lot économique,GT,,1.911,2.015,2.115,2.263,2.204,2.35,2.561,2.765,2.988,3.176,3.356,3.447,3.455,3.448,3.414,3.418,3.441,3.477,3.491,3.43,3.531,3.686,,100.0,105.4,110.6,118.4,115.3,123.0,134.0,144.7,156.3,166.2,175.6,180.3,180.8,180.4,178.6,178.8,180.0,181.9,182.6,179.4
Médiouna,Villa,PT,,2.894,3.082,3.315,3.567,3.686,3.786,3.943,4.233,4.553,4.797,4.923,5.172,5.146,5.273,5.298,5.386,5.509,5.592,5.672,5.66,5.71,5.893,,100.0,106.5,114.5,123.3,127.4,130.8,136.2,146.2,157.3,165.8,170.1,178.7,177.8,182.2,183.1,186.1,190.4,193.2,196.0,195.6
Médiouna,Villa,MT,,4.311,4.335,4.527,4.825,5.211,5.509,5.889,6.45,6.983,7.389,7.874,8.313,8.645,8.877,8.896,8.931,9.101,9.114,9.211,9.068,9.121,9.294,,100.0,100.6,105.0,111.9,120.9,127.8,136.6,149.6,162.0,171.4,182.6,192.8,200.5,205.9,206.3,207.2,211.1,211.4,213.7,210.3
Médiouna,Villa,GT,,6.506,6.991,7.446,8.077,8.566,9.247,10.072,11.034,11.921,12.39,13.004,13.465,13.513,13.81,13.74,13.843,14.006,14.05,14.25,13.595,13.73,13.88,,100.0,107.5,114.4,124.1,131.7,142.1,154.8,169.6,183.2,190.4,199.9,207.0,207.7,212.3,211.2,212.8,215.3,216.0,219.0,209.0
Médiouna,Appartement standing,PT,,2.028,2.117,2.177,2.255,2.358,2.529,2.641,2.789,2.988,3.082,3.157,3.154,3.057,3.133,3.157,3.264,3.341,3.414,3.514,3.443,3.51,3.627,,100.0,104.4,107.4,111.2,116.3,124.7,130.3,137.6,147.4,152.0,155.7,155.5,150.7,154.5,155.7,161.0,164.8,168.4,173.3,169.8
Médiouna,Appartement standing,MT,,3.021,3.112,3.168,3.266,3.329,3.305,3.353,3.429,3.738,3.783,3.935,3.83,3.775,3.842,3.838,3.889,3.959,4.019,4.114,4.056,4.131,4.281,,100.0,103.0,104.9,108.1,110.2,109.4,111.0,113.5,123.7,125.3,130.3,126.8,125.0,127.2,127.1,128.7,131.1,133.1,136.2,134.3
Médiouna,Appartement standing,GT,,4.108,4.276,4.705,4.849,5.127,5.454,5.773,5.806,6.416,6.447,6.604,6.383,6.155,6.224,6.172,6.188,6.281,6.371,6.536,6.307,6.382,6.482,,100.0,104.1,114.5,118.0,124.8,132.8,140.5,141.3,156.2,156.9,160.8,155.4,149.8,151.5,150.2,150.6,152.9,155.1,159.1,153.5
